title	source	publication_year	publication_month	publication_day	abstract	authors
A Literature Review on the Links between Environmental Regulation and Competitiveness	Environmental Policy and Governance	2011	01	01	The effects of environmental regulation on competitiveness are under constant debate for policy-makers and practitioners. The following article reviews the different ways of defining and measuring the effects of environmental regulation on competition and market forces and synthesizes the most recent findings on the relationship between these dimensions. We find that two variables have proved to be both (1) key in defining to what extent and under what conditions environmental regulation exerts adverse or positive effects on competitiveness, and (2) difficult to nail down: forms of regulation and responses by business. The form of regulation may be as important as its stringency in determining the nature of its relationship with competitiveness. The relationship between environmental policies, environmental performance and competitiveness may also vary depending on the characteristics of the businesses and sectors concerned. Taking these factors in the methods of assessment into account may be crucial in understanding the nature of the relationship between environmental regulation and competitiveness. Copyright © 2011 John Wiley & Sons, Ltd and ERP Environment.	Fabio Iraldo, Francesco Testa, Michela Melis, Marco Frey
Measuring the Impact of Anti-SLAPP Legislation on Monitoring and Enforcement	The B.E. Journal of Economic Analysis & Policy	2011	01	01	We examine changes in environmental monitoring and enforcement activity in the presence of state legislation prohibiting Strategic Lawsuits Against Public Participation (anti-SLAPP laws). Using data on the Clean Air Act from the Environmental Protection Agency's ECHO database, we find evidence that state inspections increase by almost 50% after a state passes anti-SLAPP legislation. In addition, we find strong evidence that the ratio of findings of noncompliance to inspections more than doubles in the presence of anti-SLAPP legislation.	Bevin Ashenmiller, Catherine Shelley Norman
Cover Caption	Conservation Letters	2011	01	01		
Valuing Ecosystem Services in Terms of Ecological Risks and Returns	Conservation Biology	2011	01	01		DAVID J. ABSON, METTE TERMANSEN
INTERNATIONAL CLIMATE AGREEMENTS UNDER INDUCED TECHNOLOGICAL CHANGE	Metroeconomica	2011	01	01	We examine the impact of technological change on the stability of climate coalitions and explore how international cooperation on abatement affects the incentives of signatories to invest in R&D to reduce emissions. We compare the case of no technological change with exogenous technological change and induced technological change. In the latter case R&D investments are endogenous. We find that the highest equilibrium pay-offs are achieved in the case of induced technological change. Furthermore, the formation of a climate coalition boosts R&D investments in carbon abatement technologies in signatory countries.	Miyuki Nagashima, Hans‐Peter Weikard, Kelly de Bruin, Rob Dellink
Ecological economics of soil erosion: a review of the current state of knowledge	Annals of the New York Academy of Sciences	2011	01	01	The economics of land degradation has received relatively little attention until recent years. Although a number of studies have undertaken valuation of ecosystem services ranging from the global to the micro level, and quite a few studies have attempted to quantify the costs of soil erosion, studies that address the full costs of land degradation are still scarce. In this review, we attempt to analyze different land resource modeling and valuation techniques applied in earlier research and the type of data used in these analyses, and to assess their utility for different forms of land resource and management appraisal. We also report on the strengths and weaknesses of different valuation techniques used in studies on the economics of soil erosion, and the relevance of these valuation techniques. We make a case for the need for more appropriate models that can make the analysis more robust in estimating the economic costs of land degradation while recognizing the spatial heterogeneity in biophysical and economic conditions.	Bhim Adhikari, Karthik Nadella
COEVOLUTIONARY CONTRADICTIONS: PROSPECTS FOR A RESEARCH PROGRAMME ON SOCIAL AND ENVIRONMENTAL CHANGE	Geografiska Annaler: Series B, Human Geography	2011	01	01	Insights from social system-environmental system coevolutionary thought experiments are abstract, mind opening, and can only be conveyed by leading readers through the experiment themselves. Undertaking applied coevolutionary analyses requires one to bound processes and fix some of the categories, contrary to the nature of the broad, opening nature of coevolution itself. Being conscious of these contradictions makes it difficult to engage in a sustained research programme or form a community of coevolutionary scholars. In this article we engage with the epistemological tensions of conducting coevolutionary research and put forward tentative strategies for managing them.	Richard B. Norgaard, Giorgos Kallis
Cover Caption	Conservation Letters	2011	01	01	Cover description: A reproductively healthy, free-ranging cheetah with her offspring. Reproductive health and activity of reproductive organs in cheetah females is determined by the female's reproductive history, and cub survival is high in predator-free habitats. This might have important implications for captive breeding and re-introduction programs. Photograph by Bettina Wachter.	
The value of open ocean ecosystems: A case study for the Spanish exclusive economic zone	Natural Resources Forum	2011	01	01	Valuing goods and services from open oceans provides arguments for the ocean's protection and plays an increasingly important role in debates on the use and management of natural resources. This paper identifies and estimates the monetary value of some of the most important goods and services provided by open oceans. The list of goods and services considered includes food production, raw materials, water supply, CO2 regulation, bioremediation of waste, biomass and biodiversity conservation. Therefore, not only values associated with productive uses are quantified but also values assigned to other biological ecosystem services. This paper constitutes a first attempt in the open ocean literature at evaluating services such as water supply, biomass and biodiversity conservation. To obtain their monetary value, different techniques, some not applied before in this area, have been used depending on the ecosystem service to be evaluated. As a general criterion we use the concept of net value added (revenues obtained from the services less incurred costs). Our methodology is illustrated by estimating the monetary values of goods and services provided by the open ocean ecosystem of Spain as defined by its exclusive economic zone. The total economic value obtained measures the contribution of oceans to overall welfare and it may be an important instrument in managing open ocean ecosystems and developing environmental policies in the future.	Arantza Murillas‐Maza, Jorge Virto, María Carmen Gallastegui, Pilar González, Javier Fernández‐Macho
The sustainability of green funds	Natural Resources Forum	2011	01	01	"This paper analyses the performance of the Dutch ""Green Funds Scheme"". This scheme is a policy instrument to advance green projects. The scheme relies on tax compensation for private investors who save or invest in green institutions below market returns. The green institutions select and monitor certified green projects and pass through part of the lower funding costs to investors. Certification of the green projects is based on environmental value-added and innovation. We provide a description of the characteristics of this incentive scheme and investigate the scheme's performance."	Bert Scholtens
The Future of Payments for Environmental Services	Conservation Biology	2011	01	01		PAUL J. FERRARO
POST KEYNESIAN PERSPECTIVES AND COMPLEX ECOLOGIC-ECONOMIC DYNAMICS	Metroeconomica	2011	01	01	This paper considers the implications of complex ecologic-economic dynamics for three broad, Post Keynesian perspectives: the uncertainty perspective, the macrodynamics perspective and the Sraffian perspective. Catastrophic, chaotic and other complex dynamics will be seen as reinforcing the conceptual foundations of Keynesian uncertainty. Predator-prey models will be seen as deeply linked to Post Keynesian macrodynamic models. Finally, certain cases in ecologic-economic systems will be seen as generating such Sraffian, capital theoretic conundra as reswitching. Ecologic-economic models considered besides predator-prey will include fisheries, forestry, lake dynamics and global climatic-economic dynamics.	J. Barkley Rosser, Jr
GROWTH, FOREIGN DIRECT INVESTMENT, AND THE ENVIRONMENT: EVIDENCE FROM CHINESE CITIES	Journal of Regional Science	2011	01	01	ABSTRACT In this paper, we investigate the relationship between economic growth and industrial pollution emissions in China using data for 112 major cities between 2001 and 2004. Using disaggregated data, we separate foreign direct investment inflows from Hong Kong, Macao, and Taiwan from those of other foreign economies. We examine two industrial water pollution indicators (wastewater and petroleum-like matter) and four industrial air pollution indicators (waste gas, sulfur dioxide, soot, and dust). Our results suggest that most air and water emissions rise with increases in economic growth at current income levels. The share of output of domestic- and foreign-owned firms increases several pollutants in a statistically significant manner while output of firms from Hong Kong, Macao, and Taiwan either reduces pollution or is statistically insignificant.	Matthew A. Cole, Robert J.R. Elliott, Jing Zhang
Generational Welfare under a Climate-Change Policy with Induced Innovation	The Scandinavian Journal of Economics	2011	01	01	We develop a climate-economy model with generational heterogeneity and with the potential for climate-policy-induced technological change. We use the model to assess the distributional implications of climate policies that recycle generated revenues to finance research and development in the energy sector. We show that while the investments of climate-policy rents that are used to accelerate innovation are likely to be welfare-improving, as long as significant market failures exist, they are also likely to exacerbate the distributional inequities created across generations by climate-change policies.	Jérémy Laurent‐Lucchetti, Andrew J. Leach
Environmental Policy, Innovation and Performance: New Insights on the Porter Hypothesis	Journal of Economics & Management Strategy	2011	01	01	"Jaffe and Palmer (1997) present three distinct variants of the so-called Porter Hypothesis. The ""weak"" version of the hypothesis posits that environmental regulation will stimulate environmental innovations. The ""narrow"" version of the hypothesis asserts that flexible environmental policy regimes give firms greater incentive to innovate than prescriptive regulations, such as technology-based standards. Finally, the ""strong"" version posits that properly designed regulation may induce cost-saving innovation that more than compensates for the cost of compliance. In this paper, we test the significance of these different variants of the Porter Hypothesis using data on the four main elements of the hypothesised causality chain (environmental policy, research and development, environmental performance, and commercial performance). The analysis draws upon a database that includes observations from approximately 4,200 facilities in seven OECD countries. In general, we find strong support for the ""weak"" version, qualified support for the ""narrow"" version, but no support for the ""strong"" version."	Paul Lanoie, Jérémy Laurent‐Lucchetti, Nick Johnstone, Stefan Ambec
Producer-Level Benefits of Sustainability Certification	Conservation Biology	2011	01	01		ALLEN BLACKMAN, JORGE RIVERA
A Holistic vs. an Attribute-based Approach to Agri-Environmental Policy Valuation: Do Welfare Estimates Differ?	Journal of Agricultural Economics	2011	01	01	Different economic valuation methodologies can be used to value the non-market benefits of an agri-environmental scheme. In particular, the non-market value can be examined by assessing the public's willingness to pay for the policy outputs as a whole or by modelling the preferences of society for the component attributes of the rural landscape that result from the implementation of the policy. In this article we examine whether the welfare values estimated for an agri-environmental policy are significantly different between an holistic valuation methodology (using contingent valuation) and an attribute-based valuation methodology (choice experiment). It is argued that the valuation methodology chosen should be based on whether or not the overall objective is the valuation of the agri-environment policy package in its entirety or the valuation of each of the policy's distinct environmental outputs.	Stephen Hynes, Danny Campbell, Peter Howley
The policy challenges for green economy and sustainable economic development	Natural Resources Forum	2011	01	01	"Green growth, the promotion of energy efficiency and clean energy technologies and sustainable development are frequently viewed as complementary goals by international policymakers. This paper argues that green growth will not ensure sustainable economic development as long as global ecosystem degradation and loss means that the world continues to face worsening problems of ecological scarcity - the loss of myriad benefits, or ""services"", as these systems are exploited for human use and activity. Overcoming this problem requires addressing further sustainability and funding challenges. The sustainability challenge is to overcome a vast array of market, policy and institutional failures that prevents recognition of the economic significance of this scarcity. The funding challenge is to bridge the shortfall between the global benefits that humankind receives from ecosystems and what we are willing to pay to maintain and conserve them. Improving economic and scientific analysis of ecological scarcity, valuing the loss in benefits, and translating the implications into policy are the key steps for addressing the sustainability challenge. Exploring and implementing a range of innovative financing mechanisms, from international payments for ecosystem services to financial and currency transactions taxes to international financing facilities are possibilities for alleviating the funding challenge."	Edward Barbier
Farmer Compensation and its Consequences for Environmental Benefit Provision in the Higher Level Stewardship Scheme	Journal of Agricultural Economics	2011	01	01	The Environmental Stewardship Scheme (ESS) provides payments to farmers for the provision of environmental services based on forgone agricultural income. Consequently, farmers with a relatively low opportunity cost of agricultural land will be particularly attracted to apply for entry into the ESS within a given payment region. This article tests whether there exists a significant relationship between Higher Level Stewardship (HLS) Scheme entry and agricultural yields. Empirically, HLS participation is found to be negatively related to cereal yields at the farm level. This could be associated with 'auspicious selection' of land into the Scheme, with greater 'value for money' provided by the higher entry of land with lower agricultural forgone income but higher environmental benefit within the region.	Emmanuelle Quillérou, Rob Fraser, Iain Fraser
The Optimal Time to Remove Quarantine Bans Under Uncertainty: The Case of Australian Bananas	Economic Record	2011	01	01	Import restrictions on biological materials are used widely as protection against exotic invasive pests and pathogens. While a scientific risk assessment is needed to justify an import ban under the WTO SPS Agreement, economics plays little role in determining the choice of import regime. Using a real option framework, we model the uncertain and irreversible costs from lifting an import ban and derive decision rules about the optimal timing, when ex ante research and development yields positive but uncertain benefits. The insights gained are applied to Australia's current import policy for bananas.	ANKE LEROUX, DONALD MACLAREN
Overcoming Barriers to Integrating Economic Analysis into Risk Assessment	Risk Analysis	2011	01	01	Regulatory risk analysis is designed to provide decisionmakers with a clearer understanding of how policies are likely to affect risk. The systems that produce risk are biological, physical, and social and economic. As a result, risk analysis is an inherently interdisciplinary task. Yet in practice, risk analysis has been interdisciplinary in only limited ways. Risk analysis could provide more accurate assessments of risk if there were better integration of economics and other social sciences into risk assessment itself. This essay examines how discussions about risk analysis policy have influenced the roles of various disciplines in risk analysis. It explores ways in which integrated bio/physical-economic modeling could contribute to more accurate assessments of risk. It reviews examples of the kind of integrated economics-bio/physical modeling that could be used to enhance risk assessment. The essay ends with a discussion of institutional barriers to greater integration of economic modeling into risk assessment and provides suggestions on how these might be overcome.	Sandra Hoffmann
Influence of International Openness on Corporate Environmental Performance in China	China & World Economy	2011	01	01	This paper examines how international openness influences China's corporate environmental performance. A unique firm-level dataset is constructed by combining two databases: the Annual Industrial Survey and the China GreenWatch Program Rating System. The empirical results obtained from a series of ordered probit models indicate that openness has a positive relation to corporate environmental performance in China. However, the two main market-opening strategies in China, exporting and attracting foreign investment, have different effects on environmental performance. The results reveal that foreign investment plays a substantial and positive role that can support the environmental spillovers in China. However, the effect of exporting is insignificant. The environmental pressure from foreign customers to improve Chinese firms' environmental performance presents a challenge. Our study indicates that China could make environmental quality improvements through increased international openness, as is likely the case for other developing countries.	Maoliang Bu, Zhibiao Liu, Yanyan Gao
The Success and Failure of An Inconvenient Truth and the Stern Report in Influencing Australian Public Support for Greenhouse Policy	Economic Record	2011	01	01	Longitudinal surveys were used to identify the effect of increased media climate change reporting because of An Inconvenient Truth, the Stern Report and drought. Results suggest that this was a catalyst for decreased support for policy action at low and moderate cost levels, while support marginally increased at higher costs. Similar results were found for additional information presented within questionnaire suggesting less engaged respondents chose the status quo if information was too complex, while others found the information strengthened the case for action. This highlights tension between ensuring debate is well informed and the risk of disengagement from presenting complex information.	MARK MORRISON, STEVE HATFIELD‐DODDS
Unitization of Spatially Connected Renewable Resources	The B.E. Journal of Economic Analysis & Policy	2011	01	01	Spatial connectivity of renewable resources induces a spatial externality in extraction. We explore the consequences of decentralized spatial property rights in the presence of spatial externalities. We generalize the notion of unitization-developed to enhance cooperative extraction of oil and gas fields-and apply it to renewable resources which face a similar spatial commons problem. We find that unitizing a common pool renewable resource can yield first-best outcomes even when participation is voluntary, provided profit sharing rules can vary by participant.	Daniel T Kaffine, Christopher Costello
Issues in Water Quality Trading: Introduction to Featured Collection	JAWRA Journal of the American Water Resources Association	2011	01	01	Heberling, Matthew T., 2011. Issues in Water Quality Trading: Introduction to Featured Collection. Journal of the American Water Resources Association (JAWRA) 47(1):1-4. DOI: 10.1111/j.1752-1688.2011.00510.x	Matthew T. Heberling
Decomposition of Emission Multipliers in a National Accounting Matrix Including Environmental Accounts	Journal of Industrial Ecology	2011	01	01	This study defines a linear model of emission multipliers through the use of a national accounting matrix including environmental accounts (NAMEA) for the Catalan economy that integrates the regional economic information with the greenhouse gas emissions. As in the model of income multipliers, emission multipliers can be divided into own effects, open effects, and circular effects. This decomposition shows the channels of income generation and their effects on regional greenhouse gas emissions. Our results reveal significant differences among the three gases analyzed as well as important asymmetries at a sectorial level.	Maria Llop, Laia Pié
How Research-Prioritization Exercises Affect Conservation Policy	Conservation Biology	2011	01	01		MURRAY A. RUDD
Self Insurance and Insurance Demand under Self-Deception	Asia-Pacific Journal of Risk and Insurance	2011	01	01	A dynamic model of self insurance and market insurance demand against uncertain natural hazards is developed where agents incur emotional costs when the true information about potential future catastrophes becomes known. Agents purposefully ignore the incoming signals about future hazards in order to avoid finding out the true information. Faced with the emotional costs associated with true information revelation, self-deception through true information avoidance effort may be the optimal strategy to maximize current and future expected utility. Government interventions for complementing private risk mitigation and adaptation through incentives and regulations may have a varying influence on such agents exhibiting emotional costs.	Ram Ranjan
The institutional determinants of CO2 emissions: a computational modeling approach using Artificial Neural Networks and Genetic Programming	Environmetrics	2011	01	01	Understanding the complex process of climate change implies the knowledge of all possible determinants of CO2 emissions. This paper studies the influence of several institutional determinants on CO2 emissions, clarifying which variables are relevant to explain this influence. For this aim, Genetic Programming and Artificial Neural Networks are used to find an optimal functional relationship between the CO2 emissions and a set of historical, economic, geographical, religious, and social variables, which are considered as a good approximation to the institutional quality of a country. Besides this, the paper compares the results using these computational methods with that employing a more traditional parametric perspective: ordinary least squares regression (OLS). Following the empirical results of the cross-country application, this paper generates new evidence on the binomial institutions and CO2 emissions. Specifically, all methods conclude a significant influence of ethnolinguistic fractionalization (ETHF) on CO2 emissions. Copyright © 2009 John Wiley & Sons, Ltd.	Marcos Álvarez‐Díaz, Gonzalo Caballero‐Miguez, Mario Soliño
EFFECT OF INCOME DISTRIBUTION ON THE ENVIRONMENTAL KUZNETS CURVE	Pacific Economic Review	2011	01	01	This paper augments the model of Andreoni and Levinson by analyzing the effect of income distribution on the inverted U-shaped relationship between some forms of pollution and income, the so-called 'environmental Kuznets curve'. In a context in which pollution abatement technology shows increasing returns to scale and an inverse U-shaped pollution-income path is present, this study demonstrates the existence of a majority voting equilibrium, and concludes that the inverted U-shaped relationship is between median income and environmental degradation rather than between per capita income and environmental degradation. Our results suggest that an increase in equality in income distribution improves environmental quality and social efficiency. The implication of the model for the empirical estimation of environmental Kuznets curves is examined using a panel data set of 36 countries over a 20-year period. Estimation results using different models show that income distribution might be an important factor in the empirical estimation of these curves.	BAOZHI QU, YIFAN ZHANG
Agri-Environmental Regulations, Policies, and Programs	Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie	2011	01	01	The literature on the interface between agriculture and the environment is highly diverse. This paper organizes this literature into three categories: regulation; adoption of environmental best management practices (BMPs) by farmers; and conservation programs. Within each category, the main research questions are set forth. After reviewing select papers, suggestions for future research are discussed. Academic research in this area has been impressive, but many issues and research questions remain unanswered. La littérature sur la corrélation entre l'agriculture et l'environnement est très diversifiée. Dans le présent article, nous avons divisé l'ensemble de cette littérature en trois catégories: la réglementation, l'adoption des meilleures pratiques de gestion environnementale de la part des agriculteurs et les programmes de conservation. Pour chaque catégorie, les principales questions de recherche ont étéénoncées. Une fois l'analyse des articles choisis terminée, nous avons examiné les suggestions en matière de recherche future. Bien que la recherche universitaire effectuée sur le sujet soit impressionnante, de nombreux problèmes et de nombreuses questions de recherche demeurent sans réponse.	James Vercammen
Cover Caption	Conservation Letters	2011	01	01	Cover description: A tiger photographed in Corbett Tiger Reserve in June 2010 (Christy Williams/WWF). Corbett supports a key breeding population in the Terai-Arc Landscape that stretches for 1000 km along lowland Nepal and into Northern India, where 12 reserves are linked by forest corridors to create a metapopulation of tigers. Photo credit: Christy Williams.	
Cover Caption	Conservation Letters	2011	01	01		
Cover Caption	Conservation Letters	2011	01	01		
Ecosystem valuation: some principles and a partial application	Environmetrics	2011	01	01	Understanding the economic value of nature and the services it provides to humanity has become increasingly important for local, national and global policy, and decision-making. However, problems arise in that it is difficult to obtain meaningful values for goods and services that ecosystems provide which have no formal market, or are characteristically intangible. Additional problems occur when economic methods are applied inappropriately and when the importance of ecosystem maintenance for human welfare is underestimated. In this article, we provide clarification to practitioners on important considerations in ecosystem services valuation. We first review and adapt definitions of ecosystem services in order to make an operational link to valuation methods. We make a distinction between intermediate and final ecosystem services and also identify non-monetary ways to incorporate regulatory and support services into decision-making. We then discuss the spatially explicit nature of ecosystem service provision and benefits capture, and highlight the issues surrounding the valuing of marginal changes, nonlinearities in service benefits, and the significance of non-convexities (threshold effects). Finally, we argue for a sequential decision support system that can lead to a more integrated and rigorous approach to ecosystem valuation and illustrate some of its features in a coastal ecosystem management context. Copyright © 2011 John Wiley & Sons, Ltd.	Sian Morse‐Jones, Tiziana Luisetti, R. Kerry Turner, Brendan Fisher
TREND OF SUBJECTS PUBLISHED IN ECONOMICS JOURNALS 1969-2007	Economic Inquiry	2011	01	01	We describe the evolution of subject areas published in economics over four decades and calculate the percentage of articles published in each Journal of Economic Literature (JEL) subject category, with and without weighting by Eigenfactor.com's Article Influence (AI). Finance, Development, and Industrial Organization have seen their share of total articles rise over the past four decades while Microeconomics, Macroeconomics, and Labor have seen their share fall. We use JEL codes to define specialty journals and find that more specialty journals tend to increase the overall percentage share for that subject. This effect is ambiguous when re-weighted by AI. (JEL A11, A14)	MICHAEL A. KELLY, STEPHEN BRUESTLE
A Spatially Explicit Estimate of Avoided Forest Loss	Conservation Biology	2011	01	01		JORDI HONEY‐ROSÉS, KATHY BAYLIS, M. ISABEL RAMÍREZ
The Optimal Environmental Tax and Urban Unemployment in an Open Economy	Review of Development Economics	2011	01	01	This paper investigates how a rise in the urban pollution tax rate may affect urban unemployment and welfare in a small open Harris-Todaro (HT) model with intersectoral capital mobility. First, by formulating urban pollution as a dirty input in manufacturing, we find that an increase in the urban pollution tax rate can increase the level of urban unemployment even with intersectoral capital mobility. That is, the optimistic finding by Rapanos (2007) that environmental protection policy reduces urban unemployment in the long run does not always hold. Second, the (sub)optimal pollution tax rate under urban unemployment is higher than the Pigouvian tax rate (the marginal damage of pollution). This result opposes those of Beladi and Chao (2006) for a closed HT economy and that of Tsakiris et al. (2008) for an open HT economy with sector-specific capital.	Ichiroh Daitoh, Masaya Omote
Links between Mountain Communities and Environmental Services in the Italian Alps	Sociologia Ruralis	2011	01	01	The aim of this study is to evaluate the importance of mountain communities in increasing the value of environmental services. The assumption of the research is that, for historical and cultural reasons there is a greater sense of local identity and social capital in alpine communities and thus greater attention to the environment. In these communities individuals with a higher level of social capital will have a greater tendency to play a tangible role in the preservation of the environment. The study concerns the municipality of Premana in the Italian Alps. We evaluated forest and alpine pasture environmental services using the contingent valuation (CV) method. We interviewed 319 randomly selected residents (14 per cent of the population), asking them about their willingness to pay or donate work hours. Their annual mean willingness to pay was EUR94 and EUR896 in working hours, respectively. The CV results, together with other data collected through the questionnaire, demonstrate that local traditions and social capital play a key role in the multifunctional management of forests and alpine pastures. We suggest that studies such as this one on the benefits evaluation of the environmental services of mountain resources might be used for the formation and implementation of better informed policies that will affect the future of mountain communities.	Sandra Notaro, Alessandro Paletto
Six Distributional Effects of Environmental Policy	Risk Analysis	2011	01	01	While prior literature has identified various effects of environmental policy, this note uses the example of a proposed carbon permit system to illustrate and discuss six different types of distributional effects: (1) higher prices of carbon-intensive products, (2) changes in relative returns to factors like labor, capital, and resources, (3) allocation of scarcity rents from a restricted number of permits, (4) distribution of the benefits from improvements in environmental quality, (5) temporary effects during the transition, and (6) capitalization of all those effects into prices of land, corporate stock, or house values. The note also discusses whether all six effects could be regressive, that is, whether carbon policy could place disproportionate burden on the poor.	Don Fullerton
Behavioral Economics and the Conduct of Benefit-Cost Analysis: Towards Principles and Standards	Journal of Benefit-Cost Analysis	2011	01	01	As traditionally conducted, benefit-cost analysis is rooted in neoclassical welfare economics, which, in its most simplified form, assumes that individuals act rationally and are primarily motivated by self-interest, making decisions that maximize their welfare. Its conduct is evolving to reflect recent work in behavioral economics, which explores the psychological aspects of decisionmaking. We consider several implications for analyses of social programs, focusing largely on economic valuation. First, benefit-cost analysis often involves valuing nonmarket outcomes such as reductions in health and environmental risks. Behavioral research emphasizes the need to recognize that these values are affected by psychological as well as physical attributes. Second, benefit-cost analysis traditionally uses exponential discounting to reflect time preferences, while behavioral research suggests that individuals discounting may be hyperbolic. While the appropriate rates and functional form are uncertain, market rates best represent the opportunity costs associated with diverting funds to support a particular social policy or program. Such rates reflect the intersection between technological progress and individual preferences, regardless of whether these preferences fit the standard economic model or a behavioral alternative. Third, behavioral research emphasizes the need to consider the influence of other-regarding preferences on valuation. In addition to acting altruistically, individuals may act reciprocally to reward or punish others, or use the status of others as the baseline against which to assess their own well-being. Fourth, behavioral economics identifies factors that can help researchers develop valuation studies that provide well-informed, thoughtful preferences. Finally, while behavioral research has led some to argue for a more paternalistic approach to policy analysis, an alternative is to continue to focus on describing the preferences of those affected by the policy options while working to ensure that these preferences are based on knowledge and careful reflection. Benefit-cost analysis can be best viewed as a pragmatic framework for collecting, organizing, and evaluating relevant information.	Lisa A Robinson, James K. Hammitt
Benefit-Cost Analysis with Local Residents' Stated Preference Information: A Study of Non-Motorized Transport Investments in Pune, India	Journal of Benefit-Cost Analysis	2011	01	01	One of the major difficulties in doing benefit-cost analyses of a development project is to estimate a total economic value of the project benefits, which are usually multi-dimensional and include goods and services that are not traded in the market, and challenges also arise in aggregating the values of different benefits, which may not be mutually exclusive. This paper presents an analysis of a non-motorized transport project in Pune, India, which uses the contingent valuation method to estimate the total value of the project benefits across beneficiaries. A sample of the project beneficiaries are presented with a detailed description of the project and then are asked to vote on whether such a project should be undertaken given different specifications of costs to their households. A function of willingness-to-pay for the project is then derived from the survey answers and the key determinants are found to include household income, distance to the project streets, current use of the transportation modes, future use of the project streets, predicted impacts of the project, and level of trust in the government. The total willingness-to-pay of the local residents is found to be smaller than the total cost of an initial design of the project. Heteroskedasticity is also found to present in the willingness-to-pay models.	Hua Wang, Ke Fang, Yuyan Shi
When Does Institutional Investor Activism Increase Shareholder Value?: The Carbon Disclosure Project	The B.E. Journal of Economic Analysis & Policy	2011	01	01	This paper presents the first empirical test of the financial impacts of institutional investor activism towards climate change. Specifically, we study the conditions under which share prices are increased for the Financial Times (FT) Global 500 companies due to participation in the Carbon Disclosure Project (CDP), a consortium of institutional investors with $57 trillion in assets. We find no systematic evidence that participation, in and of itself, increased shareholder value. However, by making use of Russia's ratification of the Kyoto Protocol, which caused the Protocol to go into effect, we find that companies' CDP participation increased shareholder value when the likelihood of climate change regulation rose. We estimate the total increase in shareholder value from CDP participation at $8.6 billion, about 86% of the size of the carbon market in 2005. Our findings suggest that institutional investor activism towards climate change can increase shareholder value when the external business environment becomes more climate conscious.	Eun-Hee Kim, Thomas Lyon
Cover Caption	Conservation Letters	2011	01	01	Cover description: The mountain gorilla (Gorilla beringei beringei), used to raise funding and awareness for biodiversity in its home in central Africa, is a model example of a fl agship species. By drawing on the public appeal of species such as gorillas, tigers and pandas, conservation agencies have successfully established protected area networks, and generate funding and support for biodiversity conservation throughout the world. Although undeniably a useful strategy, this approach can sometimes fail to provide protection or adequately recover many other highly threatened species, especially those that require specialized management regimes. In a new approach developed by Liana Joseph and her colleagues, the notion of securing from extinction large numbers of species (instead of a single fl agship) is used as to raise funding and awareness for the recovery of endangered species. This approach is proposed as a complementary tool to the fl agshipspecies approach. It can be particularly useful for securing endangered species that will never be effective fl agship species and will not be adequately recovered by the actions established because of the appeal of other fl agships. Photograph taken by Liana Joseph.	
NAFTA, Environmental Kuznets Curves, and Mexico's Progress	Global Economy Journal	2011	01	01	The effects of NAFTA on Mexico s environment were of great concern pre-NAFTA and have continued to be a matter concern in the post-NAFTA era. As the many studies and evidence presented in this paper show, Mexico s environment in the post-NAFTA period has not suffered as much as pessimists feared, nor has it improved as much as optimists hoped. This outcome is consistent with theory and evidence from Environmental Kuznets Curves in that Mexico s macroeconomic performance has been inadequate to raise Mexico s per capita income to levels needed to cross estimated turning points for many pollutants. Seen in this light, Mexico s environmental quality will continue to be a mixture of modest improvements along with modest setbacks until the economy exhibits strong and sustained growth.	Jody W. Lipford, Bruce Yandle
Rediscovering the Condorcet Approach as an Aggregation Technique for Progress Measures	Economic Papers: A journal of applied economics and policy	2011	01	01	There are three main aggregation techniques designed for progress measurements to help facilitate the benchmarking and ranking of countries according to aggregated dimensions. They are: (i) additive methods; (ii) geometric aggregations; and (iii) non-compensatory multi-criteria analysis. Virtually, all measures utilise one of the first two techniques. This article will critically review these aggregation approaches. In doing so, this article will assert that the Condorcet approach, despite being overlooked by many major institutions, demands strong consideration for aggregating progress measures. The theoretical implications of using the Condorcet method will be explored. An empirical application of the Condorcet model is undertaken on the Resource-Infrastructure-Environment Index to test the validity of this approach as an aggregation technique for progress measures.	Riccardo Natoli, Segu Zuhair
Consumer Preferences for Eco, Health and Fair Trade Labels. An Application to Seafood Product in France	Journal of Agricultural & Food Industrial Organization	2012	01	01	How are consumer attitudes towards eco-labeled products affected by a profusion of labels? This article provides both theoretical and empirical insight into this issue. Assuming that consumers perceive a label both as a sign of quality and of a particular characteristic of a product, we deduce theoretical determinants for preferences for three types of label: a health label, an eco-label and a fair trade label. We enrich this analysis by synthesizing most empirical determinants of eco-labeling demand mentioned in the literature. Using a French survey on seafood products, the estimation of a rank-ordered multinomial logit with random intercepts shows a certain proximity between the profiles of pro-eco-label and pro-fair trade label consumers, whereas pro-health label individuals have a more distinct profile: The two former are more likely to be young men mainly concerned with fishing conditions, whereas the latter are older married women with children who pay attention to the product form. We relate preferences for labels to degree of altruism, environmental consciousness and other socio-economic features.	Dorothée Brécard, Sterenn Lucas, Nathalie Pichot, Frédéric Salladarré
